"avg_trade_btc","avg_trade_jpy","country","freq","index","log_freq","return","tot_trade_btc","tot_trade_jpy"
"8.02573462582465","5290.39008273948","US","213412","1","5.32921883583475","-0.953180066496152","1712788.07796649","1129032728.3376"
"1.14124756412698","10354.6776003699","US","126","2","2.10037054511756","-0.846809762601668","143.79719308","1304689.37764661"
"3.73656762098366","718.950619652107","NL","5266","100","3.72148085477005","0.109939370529831","19676.7650920999","3785993.963088"
"7.66585153092127","8645.36427814741","NO","5373","131","3.73021684056869","58.024904947267","41188.62027564","46451542.266486"
"10.535137242522","108743.893891728","","2371","247","3.37493155397819","-0.860420020021192","24978.8104020197","257831772.417287"
"3.9164419320603","3897.3393546471","","199","602","2.29885307640971","-1.03233211248081","779.37194448","775570.531574773"
"17.3480697302395","125248.270391935","CA","3382","658","3.52917360326172","-0.277993078194021","58671.1718276699","423589650.465525"
"13.4925886792453","23614.4042324879","JP","53","707","1.72427586960079","4.52469541612651","715.1072","1251563.42432186"
"7.43930245592039","86608.3824530938","MT","201","956","2.30319605742049","113.413463330661","1495.29979364","17408284.8730718"
"16.3061940760656","4703.81788191743","UA","305","980","2.48429983934679","-0.775835153958519","4973.38919320001","1434664.45398482"
"12.5057346782389","32082.0417599543","IT","2470","1136","3.39269695325967","8.59257290868005","30889.16465525","79242643.1470871"
"19.6874528884615","4280.30289932828","US","39","1247","1.5910646070265","334.465458625214","767.81066265","166931.813073803"
"8.33183240540541","4400.97927075382","US","148","1353","2.17026171539496","-1.11122404742083","1233.111196","651344.932071565"
"7.15879828039054","38238.6388148289","US","1818","1608","3.25959387888595","1.56395284535021","13014.69527375","69517845.3653589"
"7.15592573128205","1731.49562911317","","39","1868","1.5910646070265","-0.709632452879311","279.08110352","67528.3295354136"
"4.97164434384084","5638.00468922482","CA","578","2302","2.76192783842053","0.278825635768881","2873.61043074","3258766.71037195"
"10.0628","706.264250452581","","20","2310","1.30102999566398","-0.781201441238326","201.256","14125.2850090516"
"7.948","551.119330441799","","25","2596","1.39794000867204","-0.802373972838927","198.7","13777.983261045"
"6.96580152671756","1433.53846884336","","131","2718","2.11727129565576","-0.775088459473261","912.52","187793.53941848"
"40.1143333333333","3216.28020224246","","18","3243","1.25527250510331","-0.829122026654442","722.058","57893.0436403642"
"14.1929730737576","14153.0742931","BR","9112","3443","3.95961371107104","-0.981588351495523","129326.370648079","128962812.958727"
"10.2643876618919","16950.3385807138","DE","37","3466","1.56820172406699","9.52888936897507","379.78234349","627162.527486411"
"64.48","6141.84135679833","","8","3470","0.903089986991943","-0.926558679278082","515.84","49134.7308543867"
"11.2126504716667","39686.9852902408","SE","24","3576","1.38021124171161","130.075466441091","269.10361132","952487.64696578"
"3.52971584","7186.47809611066","","5","3763","0.698970004336019","51.1847057853185","17.6485792","35932.3904805533"
"110.611","7436.41110008241","","2","3794","0.301029995663981","-0.967228832948303","221.222","14872.8222001648"
"6.06506344186046","1467.95721940934","","43","3886","1.63346845557959","-0.966415098348979","260.797728","63122.1604346016"
"15.719759245283","13999.2373804593","","53","3931","1.72427586960079","-0.856182127497052","833.14724","741959.581164344"
"5.20305714285714","716.940432490107","","35","3954","1.54406804435028","0.135380012616882","182.107","25092.9151371538"
"6.39990154149207","27977.7374506791","FI","1260","3985","3.10037054511756","0.14267249726767","8063.87594228001","35251949.1878557"
"6.7415","5336.21147772666","","4","4247","0.602059991327962","3.94022365850054","26.966","21344.8459109067"
